aX,aY,aZ,gX,gY,gZ,output
-8.92,-4.16,6.13,0.33,0.33,-0.13,forehand
-8.93,-4.15,6.01,0.34,0.38,-0.07,forehand
-8.8,-4.15,5.88,0.31,0.42,-0.03,forehand
-8.71,-4.24,5.63,0.27,0.41,0.01,forehand
-8.66,-4.23,5.48,0.17,0.39,0.04,forehand
-8.47,-4.36,5.39,0.06,0.32,0.06,forehand
-8.12,-4.44,5.59,-0.07,0.23,0.05,forehand
-7.98,-4.39,5.82,-0.18,0.12,0.02,forehand
-7.99,-4.5,6.15,-0.26,0.01,-0.03,forehand
-9.28,-2.36,9.51,-1.09,-0.06,1.15,forehand
-8.57,-1.98,9.6,-0.92,-0.31,1.33,forehand
-8.06,-2.08,9.31,-0.67,-0.4,1.24,forehand
-7.94,-2.48,8.49,-0.44,-0.23,0.88,forehand
-8.18,-2.7,7.41,-0.34,0.08,0.41,forehand
-8.78,-2.65,6.65,-0.39,0.35,0.07,forehand
-9.63,-2.27,6.4,-0.57,0.44,0.03,forehand
-10.21,-1.7,7.03,-0.74,0.25,0.26,forehand
-10.33,-1.3,8.03,-0.8,-0.01,0.54,forehand
-10.27,-1.1,9,-0.76,-0.11,0.74,forehand
-6.45,-0.4,9.67,-0.79,0.47,-0.46,forehand
-6.12,-0.27,11.2,-0.76,0.36,-0.58,forehand
-7.04,-0.73,11.99,-0.47,0.52,-0.87,forehand
-8.6,-0.63,11.61,-0.21,0.7,-1.03,forehand
-9.22,-0.49,9.97,-0.16,0.73,-1,forehand
-9.64,-1.23,9.21,-0.25,0.64,-0.74,forehand
-9.3,-1.29,8.47,-0.45,0.4,-0.36,forehand
-8.74,-1.19,8.62,-0.73,0.11,0,forehand
-8.27,-1,9.42,-0.91,-0.09,0.25,forehand
-7.79,-1.24,10.42,-0.83,-0.06,0.3,forehand
15.29,5.58,19.19,-3.96,-4.37,-1.84,forehand
15.28,3.32,16.75,-4.16,-4.05,-2.43,forehand
13.56,3.09,19.53,-4.37,-3.71,-2.78,forehand
13.53,3,19.61,-4.37,-3.33,-3.04,forehand
15,2.19,19.61,-4.31,-2.93,-3.52,forehand
15.56,2.81,19.61,-3.39,-2.49,-4.37,forehand
13.31,3.17,19.61,-2.67,-2.53,-4.37,forehand
10.89,1.86,19.61,-2.61,-2.48,-4.37,forehand
12.67,-0.46,8.31,-2.89,1.74,4.37,forehand
16.04,-0.96,7.87,-3.65,2.1,4.37,forehand
15.2,-0.44,10.05,-4.12,2.04,4.37,forehand
16.37,1.81,13.97,-4.12,0.71,4.37,forehand
19.61,4.2,14.2,-3.68,-1.16,4.37,forehand
19.61,7.11,12.19,-3.25,-2.19,4.37,forehand
19.61,9.44,9.58,-3.22,-1.94,4.37,forehand
19.61,11.13,9.49,-3.66,-0.94,4.37,forehand
